what,kind,bundleId,bundleVersion,description,time
error,log,,,"Could not create action delegate for id: org.eclipse.debug.internal.ui.actions.DebugHistoryMenuAction",1333684730363
error,log,,,"Plug-in org.eclipse.debug.ui was unable to load class org.eclipse.debug.internal.ui.actions.DebugHistoryMenuAction.",1333684730410
error,log,,,"Could not create action delegate for id: org.eclipse.debug.internal.ui.actions.DebugWithConfigurationAction",1333684730503
error,log,,,"Plug-in org.eclipse.debug.ui was unable to load class org.eclipse.debug.internal.ui.actions.DebugAsAction.",1333684730919
error,log,,,"Could not create action delegate for id: org.eclipse.ui.externaltools.ExternalToolMenuDelegateMenu",1333684731079
error,log,,,"Plug-in org.eclipse.ui.externaltools was unable to load class org.eclipse.ui.externaltools.internal.menu.ExternalToolMenuDelegate.",1333684731512
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333684732832
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333684736431
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1333684749129
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333684749200
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1333684749770
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1333684749915
activated,view,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui.views.AntView",1333684749921
error,log,,,"Unhandled event loop exception",1333684750231
error,log,,,"Unhandled event loop exception",1333684751640
error,log,,,"Unhandled event loop exception",1333684754900
error,log,,,"Unhandled event loop exception",1333684758520
error,log,,,"Unhandled event loop exception",1333684759074
error,log,,,"Unhandled event loop exception",1333684759853
error,log,,,"Unhandled event loop exception",1333684760042
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1333684762187
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333684762216
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1333684762449
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1333684768022
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333684768394
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1333684769172
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1333684769528
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333684769558
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1333684769649
error,log,,,"org/eclipse/debug/core/ILaunchConfiguration",1333684769899
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1333684769978
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1333684770189
activated,view,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui.views.AntView",1333684770193
error,log,,,"Unhandled event loop exception",1333684770357
error,log,,,"Unhandled event loop exception",1333684771340
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1333684776326
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333684776366
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1333684776433
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333684777431
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1333684777531
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1333684777611
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333684777639
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1333684777647
error,log,,,"org/eclipse/debug/core/ILaunchConfiguration",1333684777649
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1333684777713
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1333684777722
activated,view,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui.views.AntView",1333684777727
error,log,,,"Unhandled event loop exception",1333684777743
error,log,,,"Unhandled event loop exception",1333684779918
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1333684781181
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333684781206
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1333684781254
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333684782174
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1333684782221
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1333684782323
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333684782359
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1333684782369
error,log,,,"org/eclipse/debug/core/ILaunchConfiguration",1333684782373
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1333684782454
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1333684782479
activated,view,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui.views.AntView",1333684782482
error,log,,,"Unhandled event loop exception",1333684782526
error,log,,,"Unhandled event loop exception",1333684784550
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1333684786865
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333684786888
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1333684786931
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333684787929
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1333684787989
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1333684788078
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333684788103
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1333684788110
error,log,,,"org/eclipse/debug/core/ILaunchConfiguration",1333684788151
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1333684788219
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1333684788310
activated,view,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui.views.AntView",1333684788313
error,log,,,"Unhandled event loop exception",1333684788391
error,log,,,"Unhandled event loop exception",1333684789242
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1333684792332
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333684792358
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1333684792474
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333684794872
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1333684794972
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1333684795321
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333684795343
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1333684795533
error,log,,,"org/eclipse/debug/core/ILaunchConfiguration",1333684795688
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1333684796205
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1333684796397
activated,view,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui.views.AntView",1333684796401
error,log,,,"Unhandled event loop exception",1333684796656
error,log,,,"Unhandled event loop exception",1333684796943
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1333684799724
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333684799748
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1333684800139
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333684801259
error,log,,,"Unable to create editor ID org.eclipse.ant.ui.internal.editor.AntEditor: The editor class could not be instantiated. This usually indicates a missing no-arg constructor or that the editor's class name was mistyped in plugin.xml.",1333684802934
opened,editor,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui.internal.editor.AntEditor",1333684803134
opened,editor,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui.internal.editor.AntEditor",1333684803170
activated,editor,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui.internal.editor.AntEditor",1333684803488
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1333684810922
opened,view,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.pde.runtime.LogView",1333684811903
activated,view,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.pde.runtime.LogView",1333684811944
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1333684819774
error,log,,,"Unhandled event loop exception",1333684823738
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1333684825994
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1333684826119
error,log,,,"org/eclipse/debug/core/ILaunchConfiguration",1333684826273
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333684826274
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1333684826279
error,log,,,"org/eclipse/debug/core/ILaunchConfiguration",1333684826345
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1333684826638
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1333684826666
activated,view,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui.views.AntView",1333684826673
error,log,,,"Unhandled event loop exception",1333684826703
error,log,,,"Unhandled event loop exception",1333684831839
activated,editor,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui.internal.editor.AntEditor",1333684831910
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1333684833263
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1333684834548
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333684838702
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1333684841117
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1333684841125
activated,view,org.eclipse.ant.ui,3.5.101.v20120110-1739,"org.eclipse.ant.ui.views.AntView",1333684841130
error,log,,,"Unhandled event loop exception",1333684841183
error,log,,,"Unhandled event loop exception",1333684841800
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1333684842168
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333684842172
error,log,,,"Unhandled event loop exception",1333684844647
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1333684845037
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1333684845196
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333684845223
error,log,,,"Unhandled event loop exception",1333684845747
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1333684845965
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1333684846111
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1333684846613
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1333684846816
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1333684846962
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1333684847002
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333684847009
error,log,,,"Unhandled event loop exception",1333684847472
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1333684847575
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1333684847612
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333684847642
error,log,,,"Unhandled event loop exception",1333684849014
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1333684849198
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1333684849240
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333684849271
error,log,,,"Unhandled event loop exception",1333684849639
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1333684849667
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1333684849712
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1333684849772
